date_time,departure_city,departure_iata_code,arrival_city,destination_iata_code,departure_date_time,arrival_date_time,flight_duration,carrier_name,agent_name,flight_number,price,prev_price_1,prev_price_2,prev_price_3
2020-02-12 13:54:51.486379,kopenhagen,CPH,Edinburgh,EDI,2020-03-23 09:30:00.000000,2020-03-23 10:25:00.000000,115,Ryanair,Ryanair,2675,316.43,0,0,0
2020-02-12 13:54:51.486379,kopenhagen,CPH,Edinburgh,EDI,2020-03-11 22:05:00.000000,2020-03-11 23:00:00.000000,115,Ryanair,Ryanair,2675,371.3,585,384,0
2020-02-12 14:00:48.623170,Edinburgh,EDI,Geneva,GVA,2020-03-17 06:30:00.000000,2020-03-17 09:40:00.000000,130,easyJet,easyJet,6903,759.87,762,767,0
2020-02-12 09:15:14.425843,Paris,BVA,Venice,TSF,2020-03-14 09:00:00.000000,2020-03-14 10:40:00.000000,100,Ryanair,Ryanair,4984,888.34,736,653,0
2020-02-12 05:29:10.826822,Kiev,KBP,Stockholm,NYO,2020-03-23 20:25:00.000000,2020-03-23 21:50:00.000000,145,Ryanair,Ryanair,3083,1226.87,0,0,0
2020-02-12 09:15:14.425843,Paris,BVA,Venice,TSF,2020-03-08 09:00:00.000000,2020-03-08 10:40:00.000000,100,Ryanair,Ryanair,4984,728.28,493,636,809
2020-02-12 09:15:14.425843,Paris,BVA,Venice,TSF,2020-03-02 09:00:00.000000,2020-03-02 10:40:00.000000,100,Ryanair,Ryanair,4984,588.23,493,558,653
2020-02-12 10:46:06.035166,Vienna,VIE,Amsterdam,AMS,2020-03-08 20:45:00.000000,2020-03-08 22:45:00.000000,120,easyJet,easyJet,7946,1200.2,1025,1838,0
2020-02-12 08:13:13.722582,Berlin,SXF,Amsterdam,AMS,2020-03-23 07:00:00.000000,2020-03-23 08:40:00.000000,100,easyJet,easyJet,4561,1276.76,0,0,0
2020-02-12 10:46:06.035166,Vienna,VIE,Amsterdam,AMS,2020-03-05 09:35:00.000000,2020-03-05 11:35:00.000000,120,easyJet,easyJet,7938,706.67,620,726,710
2020-02-12 10:54:59.170555,Warsaw,WAW,Barcelona,BCN,2020-03-11 15:45:00.000000,2020-03-11 18:45:00.000000,180,Wizz Air,Wizz Air,1475,1186.1,1193,1085,1096
2020-02-12 10:54:59.170555,Warsaw,WAW,Barcelona,KBP,2020-03-08 16:05:00.000000,2020-03-08 18:35:00.000000,90,Ukraine International,Ukraine International,802,2516.96,2867,2551,2621
2020-02-12 10:54:59.170555,Warsaw,WAW,Barcelona,BCN,2020-03-08 15:45:00.000000,2020-03-08 18:45:00.000000,180,Wizz Air,Wizz Air,1475,2133.88,2158,1629,1114
2020-02-12 10:54:59.170555,Warsaw,WAW,Barcelona,BCN,2020-02-28 16:10:00.000000,2020-02-28 19:10:00.000000,180,Wizz Air,Wizz Air,1475,1750.9,1636,1085,1096
2020-02-12 10:54:59.170555,Warsaw,WAW,Barcelona,BCN,2020-03-05 14:20:00.000000,2020-03-05 17:15:00.000000,175,Wizz Air,Wizz Air,1475,1060.58,809,1339,1680
2020-02-12 13:37:08.402453,athens,ATH,Stockholm,ARN,2020-03-17 08:55:00.000000,2020-03-17 11:45:00.000000,230,Aegean Airlines,Aegean Airlines,760,2526.03,2596,0,0
2020-02-12 14:09:34.190593,Geneva,GVA,Budapest,BUD,2020-03-23 17:35:00.000000,2020-03-23 19:25:00.000000,110,easyJet,easyJet,1335,1160.75,0,0,0
2020-02-12 14:09:34.190593,Geneva,GVA,Budapest,BUD,2020-03-23 11:10:00.000000,2020-03-23 12:55:00.000000,105,easyJet,easyJet,1333,1423.13,0,0,0
2020-02-12 14:03:42.997926,Edinburgh,EDI,Budapest,BUD,2020-03-17 09:25:00.000000,2020-03-17 13:15:00.000000,170,Ryanair,Ryanair,1017,1075.97,961,0,0
2020-02-12 14:03:42.997926,Edinburgh,EDI,Budapest,BUD,2020-03-17 11:40:00.000000,2020-03-17 15:35:00.000000,175,Wizz Air,Wizz Air,2226,1361.69,1239,0,0
2020-02-12 09:21:16.450670,Paris,ORY,Geneva,GVA,2020-03-08 20:50:00.000000,2020-03-08 21:55:00.000000,65,easyJet,easyJet,1396,1517.91,1413,1545,1585
2020-02-12 14:03:42.997926,Edinburgh,EDI,Budapest,BUD,2020-03-20 17:35:00.000000,2020-03-20 21:25:00.000000,170,Ryanair,Ryanair,1017,1456.71,1461,0,0
2020-02-12 10:54:59.170555,Warsaw,WAW,Barcelona,BCN,2020-03-23 15:45:00.000000,2020-03-23 18:45:00.000000,180,Wizz Air,Wizz Air,1475,1333.58,0,0,0
2020-02-12 11:24:24.227444,Barcelona,BCN,Stockholm,ARN,2020-03-20 19:10:00.000000,2020-03-20 22:55:00.000000,225,Norwegian,Norwegian,4254,1502.18,0,0,0
2020-02-12 06:33:24.459313,Istanbul,IST,Amsterdam,BEG,2020-03-11 16:40:00.000000,2020-03-11 16:20:00.000000,100,Air Serbia,Air Serbia,803,2659.15,2690,2777,0
2020-02-12 06:33:24.459313,Istanbul,IST,Amsterdam,AMS,2020-03-14 17:55:00.000000,2020-03-14 19:35:00.000000,220,KLM,KLM,1614,2397.93,2431,2471,0
2020-02-12 06:33:24.459313,Istanbul,IST,Amsterdam,AMS,2020-03-17 17:55:00.000000,2020-03-17 19:35:00.000000,220,KLM,KLM,1614,2397.93,2415,2431,0
2020-02-12 06:33:24.459313,Istanbul,IST,Amsterdam,AMS,2020-03-20 17:55:00.000000,2020-03-20 19:35:00.000000,220,KLM,KLM,1614,2397.93,2415,0,0
2020-02-12 06:33:24.459313,Istanbul,IST,Amsterdam,AMS,2020-03-23 17:55:00.000000,2020-03-23 19:35:00.000000,220,KLM,KLM,1614,2397.93,0,0,0
2020-02-12 05:46:48.279491,Lviv,LWO,Minsk,MSQ,2020-03-17 14:20:00.000000,2020-03-17 16:35:00.000000,75,Belavia,Tickets.ua,828,1805.88,1817,1835,0
2020-02-12 05:46:48.279491,Lviv,LWO,Minsk,KBP,2020-03-17 19:10:00.000000,2020-03-17 20:10:00.000000,60,SkyUp Airlines,Kiwi.com,142,2861.0,2853,2876,0
2020-02-12 12:17:08.249465,Sofia,SOF,athens,ATH,2020-03-17 06:45:00.000000,2020-03-17 08:10:00.000000,85,Ryanair,Ryanair,6300,266.51,271,0,0
2020-02-12 12:17:08.249465,Sofia,SOF,athens,ATH,2020-03-14 06:45:00.000000,2020-03-14 08:10:00.000000,85,Ryanair,Ryanair,6300,548.21,628,603,0
2020-02-12 12:17:08.249465,Sofia,SOF,athens,ATH,2020-03-08 20:45:00.000000,2020-03-08 22:10:00.000000,85,Ryanair,Ryanair,6300,1478.97,1396,1266,0
2020-02-12 14:03:42.997926,Edinburgh,EDI,Budapest,BUD,2020-03-23 06:45:00.000000,2020-03-23 10:35:00.000000,170,Ryanair,Ryanair,1017,1710.1,0,0,0
2020-02-12 09:21:16.450670,Paris,ORY,Geneva,GVA,2020-03-08 21:25:00.000000,2020-03-08 22:25:00.000000,60,easyJet,easyJet,1392,1277.81,1611,1735,1683
2020-02-12 11:24:24.227444,Barcelona,BCN,Stockholm,NYO,2020-03-05 19:50:00.000000,2020-03-05 23:30:00.000000,220,Ryanair,Ryanair,1936,980.91,690,753,0
2020-02-12 09:21:16.450670,Paris,ORY,Geneva,GVA,2020-03-05 10:30:00.000000,2020-03-05 11:35:00.000000,65,easyJet,easyJet,1390,1395.14,1481,1490,1432
2020-02-12 08:19:08.866519,Berlin,TXL,Zurich,ZRH,2020-02-28 07:00:00.000000,2020-02-28 08:30:00.000000,90,easyJet,easyJet,5861,623.18,630,634,650
2020-02-12 12:17:08.249465,Sofia,SOF,Amsterdam,AMS,2020-03-23 20:05:00.000000,2020-03-23 22:00:00.000000,175,transavia,transavia,5740,1547.26,0,0,0
2020-02-12 12:17:08.249465,Sofia,SOF,athens,ATH,2020-03-05 06:45:00.000000,2020-03-05 08:10:00.000000,85,Ryanair,Ryanair,6300,514.07,271,275,0
